name,mpg,cylinders,displacement,horsepower,weight,model_year,origin,acceleration
chevrolet chevelle malibu,0.23936170212765956,1.0,0.6175710594315245,130.0,3504.0,0.0,usa,12.0
buick skylark 320,0.1595744680851064,1.0,0.7286821705426356,165.0,3693.0,0.0,usa,11.5
plymouth satellite,0.23936170212765956,1.0,0.6459948320413438,150.0,3436.0,0.0,usa,11.0
amc rebel sst,0.18617021276595744,1.0,0.6098191214470284,150.0,3433.0,0.0,usa,12.0
ford torino,0.2127659574468085,0.49030612244897964,0.6046511627906976,140.0,3449.0,0.0,usa,10.5
ford galaxie 500,0.1595744680851064,1.0,0.9328165374677003,198.0,4341.0,0.0,usa,10.0
chevrolet impala,0.13297872340425532,1.0,0.9974160206718345,220.0,,0.0,usa,9.0
plymouth fury iii,0.13297872340425532,1.0,0.9612403100775194,215.0,4312.0,0.0,usa,8.5
pontiac catalina,0.13297872340425532,1.0,1.0,104.31770833333333,4425.0,0.0,usa,10.0
amc ambassador dpl,0.1595744680851064,1.0,0.8320413436692506,190.0,3850.0,0.0,usa,8.5
dodge challenger se,0.1595744680851064,1.0,0.813953488372093,170.0,3563.0,0.0,usa,10.0
plymouth 'cuda 340,0.13297872340425532,1.0,0.702842377260982,160.0,3609.0,0.0,usa,8.0
chevrolet monte carlo,0.1595744680851064,0.49030612244897964,0.8578811369509044,150.0,3761.0,0.0,usa,9.5
buick estate wagon (sw),0.13297872340425532,1.0,1.0,225.0,3086.0,0.0,usa,10.0
toyota corona mark ii,0.3989361702127659,0.2,0.1162790697674419,95.0,2372.0,0.0,japan,15.0
amc hornet,0.23936170212765956,0.6,0.3385012919896641,97.0,2774.0,0.0,usa,15.5
ford maverick,0.3191489361702127,0.6,0.3410852713178295,85.0,2587.0,0.0,usa,16.0
datsun pl510,0.4787234042553191,0.2,0.07493540051679592,88.0,2130.0,0.0,japan,14.5
volkswagen 1131 deluxe sedan,0.45212765957446804,0.2,0.07493540051679592,104.31770833333333,1835.0,0.0,europe,20.5
peugeot 504,0.42553191489361697,0.2,0.10852713178294576,87.0,2672.0,0.0,europe,17.5
audi 100 ls,0.3989361702127659,0.2,0.10077519379844965,90.0,2430.0,0.0,europe,14.5
saab 99e,0.42553191489361697,0.2,0.09302325581395351,95.0,2375.0,0.0,europe,17.5
amc gremlin,0.3191489361702127,0.6,0.3385012919896641,90.0,2648.0,0.0,usa,15.0
ford f250,0.026595744680851074,1.0,0.7545219638242895,215.0,4615.0,0.0,usa,14.0
chevy c20,0.026595744680851074,1.0,0.6175710594315245,200.0,4376.0,0.0,usa,15.0
dodge d200,0.05319148936170215,1.0,0.6459948320413438,210.0,4382.0,0.0,usa,13.5
hi 1200d,0.0,1.0,0.6098191214470284,193.0,4732.0,0.0,usa,18.5
datsun pl510,0.4787234042553191,0.2,0.07493540051679592,88.0,2130.0,0.08333333333333331,japan,14.5
chevrolet vega 2300,0.5053191489361701,0.2,0.186046511627907,90.0,2264.0,0.08333333333333331,usa,15.5
toyota corona,0.42553191489361697,0.2,0.1162790697674419,95.0,2228.0,0.08333333333333331,japan,14.0
ford pinto,0.42553191489361697,0.2,0.07751937984496127,104.31770833333333,2046.0,0.08333333333333331,usa,19.0
amc gremlin,0.26595744680851063,0.6,0.42377260981912146,100.0,2634.0,0.08333333333333331,usa,13.0
plymouth satellite custom,0.18617021276595744,0.6,0.40568475452196384,105.0,3439.0,0.08333333333333331,usa,15.5
chevrolet chevelle malibu,0.2127659574468085,0.6,0.4702842377260982,100.0,3329.0,0.08333333333333331,usa,15.5
ford torino 500,0.26595744680851063,0.6,0.4702842377260982,88.0,3302.0,0.08333333333333331,usa,15.5
amc matador,0.23936170212765956,0.6,0.42377260981912146,100.0,3288.0,0.08333333333333331,usa,15.5
chevrolet impala,0.13297872340425532,1.0,0.7286821705426356,165.0,4209.0,0.08333333333333331,usa,12.0
pontiac catalina brougham,0.13297872340425532,1.0,0.8578811369509044,175.0,4464.0,0.08333333333333331,usa,11.5
ford galaxie 500,0.13297872340425532,1.0,0.7312661498708011,153.0,4154.0,0.08333333333333331,usa,13.5
plymouth fury iii,0.13297872340425532,1.0,0.6459948320413438,150.0,4096.0,0.08333333333333331,usa,13.0
dodge monaco (sw),0.07978723404255322,1.0,0.813953488372093,180.0,4955.0,0.08333333333333331,usa,11.5
ford country squire (sw),0.10638297872340424,1.0,0.8578811369509044,170.0,4746.0,0.08333333333333331,usa,12.0
pontiac safari (sw),0.10638297872340424,1.0,0.8578811369509044,175.0,5140.0,0.08333333333333331,usa,12.0
amc hornet sportabout (sw),0.23936170212765956,0.6,0.4909560723514212,110.0,2962.0,0.08333333333333331,usa,13.5
chevrolet vega (sw),0.3457446808510638,0.2,0.186046511627907,72.0,2408.0,0.08333333333333331,usa,19.0
pontiac firebird,0.26595744680851063,0.6,0.4702842377260982,100.0,3282.0,0.08333333333333331,usa,15.0
ford mustang,0.23936170212765956,0.6,0.4702842377260982,88.0,3139.0,0.08333333333333331,usa,14.5
mercury capri 2000,0.3723404255319149,0.2,0.13953488372093026,86.0,2220.0,0.08333333333333331,usa,14.0
opel 1900,0.5053191489361701,0.2,0.12403100775193804,90.0,2123.0,0.08333333333333331,europe,14.0
peugeot 304,0.5585106382978723,0.2,0.028423772609819153,70.0,2074.0,0.08333333333333331,europe,19.5
fiat 124b,0.5585106382978723,0.2,0.05167958656330751,76.0,2065.0,0.08333333333333331,europe,14.5
toyota corolla 1200,0.5851063829787233,0.2,0.007751937984496138,65.0,1773.0,0.08333333333333331,japan,19.0
datsun 1200,0.6914893617021276,0.2,0.010335917312661536,69.0,1613.0,0.08333333333333331,japan,18.0
volkswagen model 111,0.4787234042553191,0.2,0.07493540051679592,60.0,1834.0,0.08333333333333331,europe,19.0
plymouth cricket,0.45212765957446804,0.2,0.05943152454780365,70.0,1955.0,0.08333333333333331,usa,20.5
toyota corona hardtop,0.3989361702127659,0.2,0.1162790697674419,95.0,2278.0,0.16666666666666669,japan,15.5
dodge colt hardtop,0.42553191489361697,0.2,0.0762273901808786,80.0,2126.0,0.16666666666666669,usa,17.0
volkswagen type 3,0.3723404255319149,0.2,0.07493540051679592,54.0,2254.0,0.16666666666666669,europe,23.5
chevrolet vega,0.29255319148936165,0.2,0.186046511627907,90.0,2408.0,0.16666666666666669,usa,19.5
ford pinto runabout,0.3191489361702127,0.2,0.13953488372093026,86.0,2226.0,0.16666666666666669,usa,16.5
chevrolet impala,0.10638297872340424,1.0,0.7286821705426356,165.0,4274.0,0.16666666666666669,usa,12.0
